model_id,term,estimate,std_error_cluster_origin,z_value,p_value,conf_low,conf_high,transform,coefficient_scale,covariance
ppml_russia_inbound_structural_allocation_v3,region_Latin America & Caribbean,-0.5510014715041713,0.6108417269364412,-0.9020363986389942,0.36703753264425953,-1.7482292565538464,0.6462263135455037,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,region_Middle East & North Africa,0.458131294764091,0.8004218091576921,0.5723623338626871,0.567076528138778,-1.110666623625378,2.0269292131535597,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,region_North America,-0.20047175986825946,0.9484542594950971,-0.2113668190756813,0.8326010463677842,-2.059407949462256,1.6584644297257374,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,region_South Asia,-0.15762705279411682,0.5189424808864257,-0.30374667443850034,0.7613208958698043,-1.1747356253793766,0.859481519791143,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,region_Sub-Saharan Africa,-0.7002433721335835,0.5880525772961932,-1.1907836121614028,0.233738543928241,-1.8528052446500785,0.45231850038291155,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,region_Unknown,-3.0735226532068967,1.6361463378769014,-1.8785132980190302,0.06031097962013755,-6.280310548882726,0.13326524246893268,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,year_2014,0.30479922992297204,0.1786663220456843,1.7059691296775898,0.08801382736384873,-0.04538032653680385,0.6549787863827479,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,year_2016,0.6752191398000037,0.26877699469708216,2.5121909728955454,0.011998413896328363,0.14842591032080954,1.2020123692791977,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,year_2017,0.7153676980678686,0.3241388315330014,2.206979320202292,0.027315504132616762,0.08006726227228989,1.3506681338634472,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,year_2018,0.9199074989439261,0.3196682978209995,2.877693863340289,0.004005936841628466,0.2933691482155433,1.5464458496723088,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,year_2019,0.9289506944755717,0.3211229633170536,2.8928192642467394,0.003818009287741398,0.29956125176536974,1.5583401371857737,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,year_2020,1.0909215302026902,0.34160260526958464,3.193539842419413,0.0014053994238590274,0.4213927268492519,1.7604503335561286,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,year_2021,1.0371692463663036,0.35050453015847466,2.959075153457689,0.0030856384059183913,0.35019299083756006,1.7241455018950471,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,year_2022,1.1548535231366326,0.36430972627574,3.1699771920515323,0.0015245090367066033,0.44081958041853686,1.8688874658547283,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
ppml_russia_inbound_structural_allocation_v3,year_2023,1.1807661068852626,0.3971202871863202,2.9733210439870397,0.002945961384340073,0.40242464646987197,1.9591075673006533,fixed effect or missingness indicator,one training-sample standard deviation for continuous variables,origin-clustered sandwich
