territory_id,territory_name,federal_district_name,activity_id,okved_section,activity_name,forecast_year,recommended_annual_quota_persons,foreign_labor_stock_need_persons,cumulative_recommended_quota_persons,forecast_quality_flag,training_source_coverage_flag,source_key,source_url_or_file,retrieved_at,source_period,raw_value,unit,transform_script,transformation_script,observation_status,sha256_or_etag,source_row_sha256
TER012,Московская область,Центральный федеральный округ,OKVED_Q,Q,Деятельность в области здравоохранения и социальных услуг,2050,1882.5699769632768,13330.038136910473,13330.038136910473,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":13330.038136910473,""foreign_labor_stock_need_persons"":13330.038136910473,""recommended_annual_quota_persons"":1882.5699769632768}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,1c205152bea336b68092f6339ae7683a8ed4bf2e16eeea88e3ba7dc617900b09
TER020,Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,OKVED_O,O,Государственное управление и обеспечение военной безопасности; социальное обеспечение,2050,1877.7450981524016,29812.019833765487,29812.019833765487,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":29812.019833765487,""foreign_labor_stock_need_persons"":29812.019833765487,""recommended_annual_quota_persons"":1877.7450981524016}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,5c10d48b65296f557d9417b28b2dc690c84bdac69e8a1d33987e543d99176507
TER041,Ростовская область,Южный федеральный округ (с 29.07.2016),OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2050,1834.5388110380736,108976.79374937876,108976.79374937876,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":108976.79374937876,""foreign_labor_stock_need_persons"":108976.79374937876,""recommended_annual_quota_persons"":1834.5388110380736}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,3643a503e40985fdf598ff2618495db1851a40db0e74334584c2c9349315eb91
TER071,Ямало-Ненецкий автономный округ (Тюменская область),Уральский федеральный округ,OKVED_B,B,Добыча полезных ископаемых,2050,1824.7055771197768,42690.28125046291,42690.28125046291,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":42690.28125046291,""foreign_labor_stock_need_persons"":42690.28125046291,""recommended_annual_quota_persons"":1824.7055771197768}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,1ca5830c1097e2a88496e851bc07a461eae3a5595be4813a1dc8a68b3ca74915
TER033,Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,OKVED_Q,Q,Деятельность в области здравоохранения и социальных услуг,2050,1749.9817974032776,28628.177266886487,28628.177266886487,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":28628.177266886487,""foreign_labor_stock_need_persons"":28628.177266886487,""recommended_annual_quota_persons"":1749.9817974032776}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,4ac9393433155baa7ef558e3a573fea9d2a6980d28d115b1450374f9badb7297
TER060,Нижегородская область,Приволжский федеральный округ,OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2050,1706.2515201150964,48474.69498778347,48474.69498778347,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":48474.69498778347,""foreign_labor_stock_need_persons"":48474.69498778347,""recommended_annual_quota_persons"":1706.2515201150964}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,0e4b6af006a061a253fdfdb8d0b6bc39b7dda3ddc817c0363eda76da24a24545
TER033,Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,OKVED_F,F,Строительство,2050,1654.0221083522192,37388.420578358,37388.420578358,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":37388.420578358,""foreign_labor_stock_need_persons"":37388.420578358,""recommended_annual_quota_persons"":1654.0221083522192}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,665ccf554221594c8fd2347ac90c6ee4ccaec17bf7b1048bcebeaf45e609d1f8
TER006,Воронежская область,Центральный федеральный округ,OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2050,1607.138762945251,64470.11217462964,64470.11217462964,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":64470.11217462964,""foreign_labor_stock_need_persons"":64470.11217462964,""recommended_annual_quota_persons"":1607.138762945251}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,695a1d4d01beab29e5563364429495614454dad705c8f46056a224f47e610649
TER033,Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,OKVED_N,N,Деятельность административная и сопутствующие дополнительные услуги,2050,1600.1779506967578,25687.690788398933,25687.690788398933,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":25687.690788398933,""foreign_labor_stock_need_persons"":25687.690788398933,""recommended_annual_quota_persons"":1600.1779506967578}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,3c6518c1d659099edb168ac4f5ae805447f3e3ea405e48a2bee108ba053acf58
TER063,Самарская область,Приволжский федеральный округ,OKVED_G,G,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2050,1578.7870035204978,47182.52727701268,47182.52727701268,ok,observed_history,foreign_labor_migration_v5_top_region_sectors_2050,Foreign labor migration/docs/data/region_sector_forecast.csv,2026-05-27T13:57:22+00:00,2050,"{""cumulative_recommended_quota_persons"":47182.52727701268,""foreign_labor_stock_need_persons"":47182.52727701268,""recommended_annual_quota_persons"":1578.7870035204978}","{""cumulative_recommended_quota_persons"":""persons"",""foreign_labor_stock_need_persons"":""persons"",""recommended_annual_quota_persons"":""persons""}",scripts/build_labor_migration_artifacts.py,scripts/build_labor_migration_artifacts.py,calculated_v5_region_sector_row,bed04356e8a570a2911dde917ab538bd3dd43ad84aa6d09cf900456bb3680985,5b41ea9a6b1d4e7eaac9db1e63d9c543fa4bdc172d6238453366d54be92c7ec5
